id_parte,title,categoria,eje,ancho,alto,espesor,diametro,diametro_centrado,taladros,altura_interna,semimetalica,ceramica,low_metal,imagen
M1049,M1049/M1109 - Pastillas de Freno Cerámica Delanteras Nissan Qashqai Xtrail,pastilla,DELANTERO,141.9,58.6,16.8,,,,,true,true,true,M1049.svg
M1013,M1013/M859 - Pastillas de Freno Semi-metálica Trasera Volkswagen 5N0698451,pastilla,TRASERO,105.3,55.9,17.1,,,,,true,true,false,M1013.svg
M1022,M1022 - Pastillas de Freno Ceramica Delantera Audi - Volkswagen,pastilla,DELANTERO,118.9,69.5,19.6,,,,,false,true,false,M1022.svg
M1034,M1034 - Pastillas de Freno Ceramica Delantera Peugeot - Citroen,pastilla,DELANTERO,162.35,66.8,18.5,,,,,false,true,false,M1034.svg
M1037,M1037 Pastillas de Freno Cerámica Delantera Grat Wall Wingle / Changan Hunter / 3501150XK00XB,pastilla,DELANTERO,167.3,54.3,16.1,,,,,true,true,true,M1037.svg
M1038,M1038 - Pastillas de Freno Ceramica Delantera Chery,pastilla,DELANTERO,118 & 110,48.6,15,,,,,false,true,false,M1038.svg
M1039,M1039/M1055/M757 - Pastillas de Freno Cerámica Delanteras Para Hyundai  Kia,pastilla,DELANTERO,131.6,59.9,16.9,,,,,true,true,true,M1039.svg
M1040,M1040-Pastillas de Frenos Cerámicas Delanteras Para Mitsubishi Charriot (1998-2003),pastilla,DELANTERO,156.8,53.5,15.5,,,,,false,true,false,M1040.svg
M1044,M1044/M1146 - Pastilla de Freno Cerámica Traseras Toyota Corolla,pastilla,TRASERO,99,42,14,,,,,true,true,true,M1044.svg
M1050,M1050 / M1268 -  Pastillas de Freno Cerámica Delanteras Para Honda,pastilla,DELANTERO,136.5,56.3,16.5,,,,,false,true,false,M1050.svg
M1052,M1052 - Pastillas de Freno Cerámica  Delanteras Ford  Mazda  Suzuki,pastilla,DELANTERO,125.6,51.7,17,,,,,true,true,true,M1052.svg
M1053,M1053 - Pastillas de Freno Cerámica Delanteras para Citroen Peugeot,pastilla,DELANTERO,155.2,64.7 & 57.7,18.5,,,,,true,true,true,M1053.svg
M1056,M1056 - Pastillas de Freno Ceramica Delantera Dodge Chrysler,pastilla,DELANTERO,214.2,71.8,20.7,,,,,false,true,false,M1056.svg
M1064,M1064 - Pastillas de Freno Cerámica Delanteras para Citroen Peugeot MG,pastilla,DELANTERO,155.1,66.6,19,,,,,false,true,false,M1064.svg
M1070,M1070 - Pastillas de Freno Cerámica Delanteras Para Chevrolet,pastilla,DELANTERO,148,60.3,18.8,,,,,true,true,false,M1070.svg
M1071,M1071 - Pastillas de Freno Cerámica Traseras Para Chevrolet,pastilla,TRASERO,116.6,42.8,16.2,,,,,true,true,false,M1071.svg
M1072,M1072 - Pastillas de Freno Cerámica Traseras Para Kia,pastilla,TRASERO,100.5,44,15,,,,,true,true,false,M1072.svg
M1073,M1073 - Pastilla de Freno Cerámica Delanteras Toyota Hilux,pastilla,DELANTERO,143.5,67.6,17,,,,,true,true,true,M1073.svg
M1078,M1078 - Pastillas de Freno Cerámica Delanteras Chevrolet N300 / N400 / Audi  80 90 100 200 - Chery Tiggo 2,pastilla,DELANTERO,119.3,69.6,16,,,,,true,true,true,M1078.svg
M1086/M946,M1086 /M946 - Pastillas de Freno Ceramica Traseras Dodge Chrysler,pastilla,TRASERO,109.7,69.1,15.5,,,,,false,true,false,M1086.svg
M1087,M1087 - Pastillas de Freno Ceramica Delantera Ford,pastilla,DELANTERO,162.4,54.5,17.4,,,,,false,true,false,M1087.svg
M1090,M1090 - Pastillas de Freno Cerámica Traseras Nissan - Suzuki,pastilla,TRASERO,105.5,38.2,14,,,,,true,true,true,M1090.svg
M1091,M1091 - Pastillas de Freno Cerámica Delanteras Ford  F-150 (2010-2020),pastilla,DELANTERO,194.3,69 & 68,18,,,,,false,true,true,M1091.svg
M1104,M1104 - Pastillas de Freno Cerámica Delanteras Para Chevrolet,pastilla,DELANTERO,142.1,66.7,19.1,,,,,false,true,false,M1104.svg
M1106,M1106 - Pastillas de Freno Cerámica Traseras Para Chevrolet,pastilla,TRASERO,137.8,46.2,16.6,,,,,false,true,false,M1106.svg
M1111/M1400,M1111/M1400 - Pastillas de Freno Cerámica Delanteras Para Honda,pastilla,DELANTERO,157.7,58.7,18,,,,,false,true,false,M1111.svg
M1112,M1112 - Pastillas de Freno Cerámica Traseras Para Honda,pastilla,TRASERO,113,49.4,15.2,,,,,false,true,false,M1112.svg
M1114,M1114 - Pastillas de Freno Cerámica Delanteras Para Hyundai  Kia,pastilla,DELANTERO,132.8,59.9,17.2,,,,,true,true,false,M1114.svg
M1115,M1115 - Pastillas de Freno Cerámica Delanteras Para Hyundai  Kia,pastilla,DELANTERO,129.8,56.5,17.7,,,,,false,true,false,M1115.svg
M1116/M1117/M1125/M1172/M1173,M1116/M1117/M1125/M1172/M1173 - Pastillas de Freno Cerámica Traseras Para Nissan  Kia,pastilla,TRASERO,99.9,40.9,15.7,,,,,true,true,true,M1116.svg
M1119/M1121,M1119/M1121 - Pastillas de Freno Cerámica Traseras Hyundai  Santa Fe - Kia Sorento,pastilla,TRASERO,116.8,48.3,15.5,,,,,true,true,true,M1119.svg
M1120,M1120 - Pastillas de Freno Cerámica Delanteras Para Hyundai  Kia,pastilla,DELANTERO,140.7,59.9,17.3,,,,,false,true,false,M1120.svg
M1130,M1130 - Pastillas de Freno Cerámica Delanteras Volkswagen 5N0698151,pastilla,DELANTERO,155.1,71.9 & 66.6,20.1,,,,,true,true,false,M1130.svg
M1148/M963,M1148/M963 - Pastillas de Freno Cerámica Delanteras para Volkswagen,pastilla,DELANTERO,131.6,77.3,16.5,,,,,true,true,false,M1148.svg
M1152,M1152 - Pastillas de Freno Cerámica Delanteras Para Chevrolet / Maxus T60,pastilla,DELANTERO,152,60.5,16,,,,,false,true,true,M1152.svg
M1153,M1153 - Pastillas de Freno Cerámica Delanteras Para Kia,pastilla,DELANTERO,157,61,17,,,,,false,true,false,M1153.svg
M1154,M1154 - Pastillas de Freno Cerámica Traseras para Citroen Peugeot,pastilla,TRASERO,103.8,56,17.3,,,,,true,true,false,M1154.svg
M1155,M1155 - Pastillas de Freno Cerámica Delanteras Para Chevrolet,pastilla,DELANTERO,124,46,17.5,,,,,true,true,true,M1155.svg
M1156,M1156 - Pastillas de Freno Cerámica Delanteras Chery   Arriz - Chery  Tiggo 4 / Tiggo 5,pastilla,DELANTERO,131.6,54.8,16.8,,,,,true,true,true,M1156.svg
